CITY,2015_POP,2016_POP,2016_POP_PERCENT_CHANGE,2016_NET_CHANGE,2017_POP,2017_POP_PERCENT_CHANGE,2017_NET_CHANGE,2018_POP,2018_POP_PERCENT_CHANGE,2018_NET_CHANGE,2019_POP,2019_POP_PERCENT_CHANGE,2019_NET_CHANGE,2020_POP,2020_POP_PERCENT_CHANGE,2020_NET_CHANGE,2021_POP,2021_POP_PERCENT_CHANGE,2021_NET_CHANGE,2022_POP,2022_POP_PERCENT_CHANGE,2022_NET_CHANGE,latitude,longitude
"New York City, New York",8463049,8469153,0.072125306,6104,8437478,-0.374004343,-31675,8390081,-0.561743687,-47397,8336817,-0.634844884,-53264,8804194,5.606180392,467377,8459001,-3.92077912,-345193,8335897,-1.455301873,-123104,40.7127281,-74.0060152
"Chicago, Illinois",2724344,2716723,-0.279737067,-7621,2711069,-0.208118384,-5654,2701423,-0.355800609,-9646,2693976,-0.275669527,-7447,2746352,1.944189555,52376,2698029,-1.759534102,-48323,2665039,-1.222744455,-32990,41.8755616,-87.6244212
"Los Angeles, California",3938568,3963226,0.626065108,24658,3975788,0.316964009,12562,3977596,0.045475262,1808,3979576,0.049778811,1980,3898767,-2.030593209,-80809,3837986,-1.558980057,-60781,3822238,-0.410319371,-15748,34.0536909,-118.242766
"San Francisco, California",863010,871512,0.985156603,8502,878040,0.749043042,6528,880696,0.302491914,2656,881549,0.096855215,853,873959,-0.860984472,-7590,811253,-7.174936124,-62706,808437,-0.34711736,-2816,37.7790262,-122.419906
"Detroit, Michigan",679410,677143,-0.333671862,-2267,674631,-0.370970386,-2512,672977,-0.245171064,-1654,670031,-0.437756417,-2946,639115,-4.614114869,-30916,628167,-1.712993749,-10948,620376,-1.240275277,-7791,42.3315509,-83.0466403
"San Jose, California",1025980,1030242,0.415407708,4262,1032335,0.203156152,2093,1028020,-0.417984472,-4315,1021795,-0.605532966,-6225,1013221,-0.839111563,-8574,981466,-3.134064533,-31755,971233,-1.042623993,-10233,37.3361663,-121.890591
"Baltimore, Maryland",622522,616226,-1.011369879,-6296,610481,-0.932287829,-5745,602443,-1.316666694,-8038,593490,-1.486115699,-8953,585693,-1.313754233,-7797,576981,-1.487468691,-8712,569931,-1.221877324,-7050,39.2908816,-76.610759
"Boston, Massachusetts",670491,679848,1.395544459,9357,687788,1.167908121,7940,691147,0.488377233,3359,692600,0.21023024,1453,675632,-2.449898932,-16968,654537,-3.122261823,-21095,650706,-0.585299227,-3831,42.3554334,-71.060511
"St. Louis, Missouri",316010,312633,-1.068637068,-3377,308233,-1.40740101,-4400,303419,-1.561805517,-4814,300576,-0.936988125,-2843,301574,0.332029171,998,293562,-2.656727702,-8012,286578,-2.37905451,-6984,38.6280278,-90.1910154
"New Orleans, Louisiana",389742,391843,0.539074567,2101,391493,-0.089321488,-350,391004,-0.124906448,-489,390144,-0.219946599,-860,383998,-1.575315781,-6146,377063,-1.80599899,-6935,369749,-1.939728905,-7314,29.9759983,-90.0782127
"Jackson, Mississippi",170901,169022,-1.099466943,-1879,166823,-1.301014069,-2199,163772,-1.828884506,-3051,160628,-1.91974208,-3144,153705,-4.309958413,-6923,149727,-2.588074558,-3978,145995,-2.492536416,-3732,32.2998686,-90.1830408
"Milwaukee, Wisconsin",600477,596996,-0.579705801,-3481,593725,-0.547909869,-3271,591375,-0.395806139,-2350,590157,-0.205960685,-1218,577225,-2.191281303,-12932,565840,-1.972367794,-11385,563305,-0.448006504,-2535,43.0349931,-87.922497
"Shreveport, Louisiana",197001,194672,-1.182227501,-2329,192023,-1.36075039,-2649,189360,-1.386813038,-2663,187112,-1.187156738,-2248,187587,0.253858652,475,183328,-2.270413195,-4259,180153,-1.731868563,-3175,32.5135356,-93.7477839
"Cleveland, Ohio",389244,387662,-0.406428872,-1582,385252,-0.621675583,-2410,383214,-0.529004392,-2038,381009,-0.575396515,-2205,372632,-2.198635728,-8377,365389,-1.943740742,-7243,361607,-1.035061263,-3782,41.4996574,-81.6936772
"Memphis, Tennessee",654106,652548,-0.238187694,-1558,650878,-0.255919871,-1670,651104,0.034722329,226,651073,-0.004761144,-31,631539,-3.000278003,-19534,625982,-0.879913988,-5557,621056,-0.786923586,-4926,35.1460249,-90.0517638
