CITY,2015_POP,2016_POP,2017_POP,2018_POP,2019_POP,2020_POP,2021_POP,2022_POP,latitude,longitude
"New York City, New York",8463049,8469153,8437478,8390081,8336817,8804194,8459001,8335897,40.7127281,-74.0060152
"Chicago, Illinois",2724344,2716723,2711069,2701423,2693976,2746352,2698029,2665039,41.8755616,-87.6244212
"Los Angeles, California",3938568,3963226,3975788,3977596,3979576,3898767,3837986,3822238,34.0536909,-118.242766
"San Francisco, California",863010,871512,878040,880696,881549,873959,811253,808437,37.7790262,-122.419906
"Detroit, Michigan",679410,677143,674631,672977,670031,639115,628167,620376,42.3315509,-83.0466403
"San Jose, California",1025980,1030242,1032335,1028020,1021795,1013221,981466,971233,37.3361663,-121.890591
"Baltimore, Maryland",622522,616226,610481,602443,593490,585693,576981,569931,39.2908816,-76.610759
"Boston, Massachusetts",670491,679848,687788,691147,692600,675632,654537,650706,42.3554334,-71.060511
"St. Louis, Missouri",316010,312633,308233,303419,300576,301574,293562,286578,38.6280278,-90.1910154
"New Orleans, Louisiana",389742,391843,391493,391004,390144,383998,377063,369749,29.9759983,-90.0782127
"Jackson, Mississippi",170901,169022,166823,163772,160628,153705,149727,145995,32.2998686,-90.1830408
"Milwaukee, Wisconsin",600477,596996,593725,591375,590157,577225,565840,563305,43.0349931,-87.922497
"Shreveport, Louisiana",197001,194672,192023,189360,187112,187587,183328,180153,32.5135356,-93.7477839
"Cleveland, Ohio",389244,387662,385252,383214,381009,372632,365389,361607,41.4996574,-81.6936772
"Memphis, Tennessee",654106,652548,650878,651104,651073,631539,625982,621056,35.1460249,-90.0517638
